edge_id,u,v,length_km,usage,service,gauge,electrified,voltage,railway,operator,network
OSM-E0001,0,1,0.264,main,,1676,contact_line,25000,rail,,
OSM-E0002,2,3,0.039,main,,1676,contact_line,25000,rail,,
OSM-E0003,3,4,0.542,main,,1676,contact_line,25000,rail,,
OSM-E0004,5,6,0.036,main,,1676,contact_line,25000,rail,,
OSM-E0005,7,8,0.304,main,,1676,contact_line,25000,rail,,
OSM-E0006,9,10,0.036,main,,1676,contact_line,25000,rail,,
OSM-E0007,11,9,1.022,main,,1676,contact_line,25000,rail,,
OSM-E0008,12,13,0.056,main,,1676,contact_line,25000,rail,,
OSM-E0009,14,15,4.877,main,,1676,contact_line,25000,rail,,
OSM-E0010,16,17,0.843,main,,1676,,,rail,,
OSM-E0011,18,19,1.668,main,,1676,contact_line,25000,rail,,
OSM-E0012,20,16,0.266,main,,1676,,,rail,,
OSM-E0013,21,20,2.453,main,,1676,,,rail,,
OSM-E0014,22,23,1.116,main,,1676,contact_line,25000,rail,,
OSM-E0015,24,22,0.084,main,,1676,contact_line,25000,rail,,
OSM-E0016,25,26,0.027,main,,1676,contact_line,25000,rail,,
OSM-E0017,27,28,0.02,main,,1676,contact_line,25000,rail,,
OSM-E0018,29,30,0.163,main,,1676,contact_line,25000,rail,,
OSM-E0019,31,29,0.126,main,,1676,contact_line,25000,rail,,
OSM-E0020,30,32,0.243,main,,1676,contact_line,25000,rail,,
OSM-E0021,33,34,0.02,main,,1676,contact_line,25000,rail,,
OSM-E0022,28,33,0.711,main,,1676,contact_line,25000,rail,,
OSM-E0023,35,36,0.482,main,,1676,contact_line,25000,rail,,
OSM-E0024,37,38,0.051,main,,1676,contact_line,25000,rail,,
OSM-E0025,39,37,0.749,main,,1676,contact_line,25000,rail,,
OSM-E0026,19,40,0.552,main,,1676,contact_line,25000,rail,,
OSM-E0027,41,19,0.026,main,,1676,contact_line,25000,rail,,
OSM-E0028,42,43,0.016,main,,1676,contact_line,25000,rail,,
