node_id,graph_node,type,name,aliases,degree,latitude,longitude
GN-0005,5,junction,Junction 5,,4,17.4338356,78.51087835000001
GN-0006,6,junction,Junction 6,,4,17.43392565,78.5105465
GN-0007,7,junction,Junction 7,,5,17.434369980000003,78.50659612
GN-0009,9,junction,Junction 9,,4,17.4356988,78.51221815
GN-0010,10,junction,Junction 10,,4,17.435595300000003,78.51189425
GN-0012,12,junction,Junction 12,,4,17.435738649999998,78.51179060000001
GN-0013,13,junction,Junction 13,,4,17.43591645,78.51229040000001
GN-0014,14,junction,Junction 14,,8,17.446060049999996,78.58031199999999
GN-0015,15,junction,Junction 15,,6,17.4562679,78.6216571
GN-0019,19,junction,Junction 19,,4,17.454866600000003,78.5350055
GN-0022,22,junction,Junction 22,,4,17.43779405,78.46990305
GN-0023,23,junction,Junction 23,,4,17.435072599999998,78.47972254999999
GN-0024,24,junction,Junction 24,,4,17.43764135,78.46912929999999
GN-0025,25,station_or_junction,Begumpet,Begumpet; Begumpet,4,17.43944065,78.45605889999999
GN-0026,26,junction,Junction 26,,4,17.43959215,78.4558567
GN-0027,27,station_or_junction,Ferozguda,Ferozguda,4,17.463668400000003,78.45955705
GN-0028,28,junction,Junction 28,,4,17.463527149999997,78.45943
GN-0029,29,junction,Junction 29,,4,17.463142000000005,78.45061765
GN-0031,31,junction,Junction 31,,4,17.462820400000002,78.45181665
GN-0032,32,junction,Junction 32,,4,17.46213125,78.44713185
GN-0033,33,junction,Junction 33,,4,17.462424900000002,78.45326025000001
GN-0034,34,junction,Junction 34,,4,17.462474999999998,78.4530752
GN-0037,37,junction,Junction 37,,4,17.4841352,78.52727619999999
GN-0038,38,junction,Junction 38,,4,17.48445305,78.5269826
GN-0039,39,junction,Junction 39,,4,17.4795849,78.53237150000001
GN-0041,41,junction,Junction 41,,4,17.454767349999997,78.53521625
GN-0042,42,station_or_junction,James Street,James Street,4,17.432442200000004,78.48832525
GN-0043,43,junction,Junction 43,,4,17.43240025,78.48846434999999
GN-0044,44,station_or_junction,Bolarum Bazaar,Bolarum Bazaar,4,17.517158324999997,78.51591344999999
GN-0046,46,junction,Junction 46,,4,17.437263249999997,78.4626185
GN-0047,47,junction,Junction 47,,3,17.4296644,78.4621046
GN-0048,48,junction,Junction 48,,6,17.428376800000002,78.46170835000001
GN-0049,49,junction,Junction 49,,3,17.4376636,78.4618193
GN-0052,52,junction,Junction 52,,3,17.4377838,78.4616803
