node_id,name,railway_type,operator,network,latitude,longitude,graph_node,distance_to_track_m
HYD-N001,Necklace Road,station,SCR,IR,17.4233355,78.4631857,191,361.8
HYD-N002,Arts College,halt,SCR,IR,17.417977,78.5200383,205,1450.1
HYD-N003,Lalaguda Gate,halt,SCR,IR,17.4408124,78.5247765,45,393.9
HYD-N004,Moula Ali,station,SCR,IR,17.4407394,78.5506697,20,486.1
HYD-N005,Nature Cure Hospital,station,SCR,IR,17.4456571,78.4521487,82,218.2
HYD-N006,Begumpet,station,SCR,IR,17.4386951,78.4580969,25,231.5
HYD-N007,Ammuguda,halt,SCR,IR,17.4863882,78.5271469,223,159.6
HYD-N008,Hafeezpet,station,SCR,IR,17.4823997,78.3630141,102,295.8
HYD-N009,James Street,station,SCR,IR,17.4329515,78.4873218,42,120.6
HYD-N010,Chandanagar,station,SCR,IR,17.4872976,78.3322142,81,105.7
HYD-N011,HITEC City,station,SCR,IR,17.4698143,78.3853779,188,219.1
HYD-N012,Ramakistapuram Gate,halt,SCR,IR,17.4763716,78.5290898,39,498.8
HYD-N013,Cavalry Barracks,station,SCR,IR,17.4953503,78.519068,220,373.1
HYD-N014,Malkajgiri,station,SCR,IR,17.4483438,78.5289727,18,479.9
HYD-N015,Dayanand Nagar,halt,SCR,IR,17.4559393,78.5314333,40,284.3
HYD-N016,Safilguda,halt,SCR,IR,17.46162,78.5331229,40,372.9
HYD-N017,Borabanda,station,SCR,IR,17.4590687,78.4078664,181,198.1
HYD-N018,Bharath Nagar,station,SCR,IR,17.4626026,78.4301562,131,17.4
HYD-N019,Lingampalli,station,SCR,IR,17.4831225,78.3177732,150,267.2
HYD-N020,Charlapalli,station,SCR,IR,17.4585975,78.6066056,15,1617.4
HYD-N021,Ghatkesar,station,SCR,IR,17.4528558,78.6782985,178,50.6
HYD-N022,Sitaphalmandi,station,SCR,IR,17.4272947,78.5207231,205,545.9
HYD-N023,Begumpet,station,,,17.4385942,78.458062,25,232.4
HYD-N024,Fateh Nagar,station,SCR,IR,17.4562011,78.4499241,59,715.3
HYD-N025,Bolarum,station,SCR,IR,17.5330679,78.5154568,202,333.8
HYD-N026,Alwal,station,SCR,IR,17.5050368,78.514663,220,801.5
HYD-N027,Bolarum Bazaar,halt,SCR,IR,17.5176302,78.5156805,44,58.0
HYD-N028,Gowdavalli,halt,SCR,IR,17.6107583,78.4683703,66,879.7
HYD-N029,Gundla Pochampally,station,SCR,IR,17.5687096,78.4882373,230,343.3
HYD-N030,Sanat Nagar,station,SCR,IR,17.4622355,78.4366978,130,224.5
HYD-N031,Telapur,station,SCR,IR,17.4749602,78.2849764,134,598.4
HYD-N032,BHEL,halt,SCR,IR,17.5022187,78.2823111,203,610.4
HYD-N033,Ramachandrapuram TS,station,SCR,IR,17.5102204,78.2824464,204,63.1
HYD-N034,Secunderabad Junction,station,South Central Railway,Indian Railways,17.4338591,78.502051,95,135.1
HYD-N035,Bhudevi Nagar,station,South Central Railway,,17.4929657,78.5021679,211,306.9
HYD-N036,Ammuguda,station,South Central Railway,,17.4888436,78.5236929,92,298.3
HYD-N037,Neredmet,station,South Central Railway,,17.4781112,78.5366716,78,431.1
HYD-N038,Ferozguda,station,South Central Railway,,17.4648917,78.4603057,27,157.5
HYD-N039,Suchitra Centre,station,South Central Railway,,17.4892259,78.4729062,212,1009.4
HYD-N040,Sanjeevaiah Park,station,South Central Railway,Indian Railways,17.4356998,78.4764022,23,359.1
