asset_id,asset_type,corridor_id,segment_id,graph_start_node,graph_end_node,position_km_on_segment,age_years,condition_score,health_state,electrified_context,gauge_mm,maintenance_interval_days,last_maintenance_date,data_status,source_note
HYD-ASSET-0001,OHE,HYD-C01,HYD-C01-S001,GN-0095,GN-0096,0.108,2,94,GOOD,True,1676,240,2026-06-27,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0002,OHE,HYD-C01,HYD-C01-S002,GN-0096,GN-0007,0.05,19,76,FAIR,True,1676,240,2026-07-02,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0003,TRACK,HYD-C01,HYD-C01-S003,GN-0007,GN-0159,0.05,18,63,FAIR,True,1676,180,2025-11-12,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0004,TRACK,HYD-C01,HYD-C01-S004,GN-0159,GN-0113,0.05,16,61,FAIR,True,1676,180,2026-05-29,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0005,OHE,HYD-C01,HYD-C01-S005,GN-0113,GN-0094,0.05,12,78,FAIR,True,1676,240,2026-02-27,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0006,TRACK,HYD-C01,HYD-C01-S006,GN-0094,GN-0010,0.243,14,82,GOOD,True,1676,180,2026-07-27,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0007,OHE,HYD-C01,HYD-C01-S007,GN-0010,GN-0009,0.05,19,75,FAIR,True,1676,240,2026-03-21,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0008,SIGNAL,HYD-C01,HYD-C01-S008,GN-0009,GN-0138,0.575,21,56,POOR,True,1676,365,2025-08-23,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0009,TRACK,HYD-C01,HYD-C01-S008,GN-0009,GN-0138,0.947,23,64,FAIR,True,1676,180,2026-04-21,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0010,SIGNAL,HYD-C01,HYD-C01-S009,GN-0138,GN-0091,0.05,14,79,FAIR,True,1676,365,2026-02-18,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0011,TRACK,HYD-C01,HYD-C01-S010,GN-0091,GN-0092,3.975,10,73,FAIR,True,1676,180,2026-05-23,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0012,TRACK,HYD-C01,HYD-C01-S010,GN-0091,GN-0092,1.79,9,90,GOOD,True,1676,180,2026-04-28,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0013,OHE,HYD-C01,HYD-C01-S010,GN-0091,GN-0092,1.526,28,34,CRITICAL,True,1676,240,2026-08-02,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0014,SIGNAL,HYD-C01,HYD-C01-S011,GN-0092,GN-0220,0.84,14,75,FAIR,True,1676,365,2025-11-01,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0015,SIGNAL,HYD-C01,HYD-C01-S012,GN-0220,GN-0044,0.875,12,87,GOOD,True,1676,365,2025-09-23,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0016,TRACK,HYD-C01,HYD-C01-S012,GN-0220,GN-0044,1.608,10,84,GOOD,True,1676,180,2026-01-11,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0017,TURNOUT,HYD-C01,HYD-C01-S012,GN-0220,GN-0044,1.112,14,71,FAIR,True,1676,120,2026-07-26,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0018,OHE,HYD-C01,HYD-C01-S013,GN-0044,GN-0201,0.443,5,89,GOOD,True,1676,240,2026-01-14,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0019,OHE,HYD-C01,HYD-C01-S014,GN-0201,GN-0200,0.078,14,81,GOOD,True,1676,240,2025-11-08,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0020,SIGNAL,HYD-C01,HYD-C01-S015,GN-0200,GN-0202,0.474,2,90,GOOD,True,1676,365,2025-11-17,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0021,OHE,HYD-C01,HYD-C01-S016,GN-0202,GN-0221,0.321,26,43,POOR,True,1676,240,2026-05-30,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0022,TRACK,HYD-C01,HYD-C01-S016,GN-0202,GN-0221,0.946,25,45,POOR,True,1676,180,2026-05-19,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0023,TRACK,HYD-C01,HYD-C01-S017,GN-0221,GN-0097,0.175,5,90,GOOD,True,1676,180,2025-12-02,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0024,OHE,HYD-C01,HYD-C01-S018,GN-0097,GN-0066,4.648,6,86,GOOD,True,1676,240,2025-11-20,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0025,TURNOUT,HYD-C01,HYD-C01-S018,GN-0097,GN-0066,1.004,21,56,POOR,True,1676,120,2026-05-18,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0026,SIGNAL,HYD-C01,HYD-C01-S018,GN-0097,GN-0066,0.544,28,39,CRITICAL,True,1676,365,2025-05-26,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0027,TRACK,HYD-C01,HYD-C01-S019,GN-0066,GN-0230,3.154,4,98,GOOD,True,1676,180,2025-11-19,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0028,SIGNAL,HYD-C01,HYD-C01-S019,GN-0066,GN-0230,1.058,6,85,GOOD,True,1676,365,2025-05-29,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0029,OHE,HYD-C01,HYD-C01-S019,GN-0066,GN-0230,2.762,8,80,GOOD,True,1676,240,2026-01-26,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0030,DRAINAGE,HYD-C02,HYD-C02-S001,GN-0095,GN-0158,0.2,22,69,FAIR,True,1676,365,2026-04-14,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0031,TRACK,HYD-C02,HYD-C02-S002,GN-0158,GN-0154,0.082,12,81,GOOD,True,1676,180,2026-08-15,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0032,TRACK,HYD-C02,HYD-C02-S003,GN-0154,GN-0157,0.05,22,62,FAIR,True,1676,180,2026-03-02,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0033,TRACK,HYD-C02,HYD-C02-S004,GN-0157,GN-0163,0.05,9,92,GOOD,True,1676,180,2026-06-12,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0034,OHE,HYD-C02,HYD-C02-S005,GN-0163,GN-0236,0.269,20,60,FAIR,True,1676,240,2026-01-22,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0035,TRACK,HYD-C02,HYD-C02-S006,GN-0236,GN-0144,0.05,5,93,GOOD,True,1676,180,2025-12-22,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0036,SIGNAL,HYD-C02,HYD-C02-S007,GN-0144,GN-0043,0.072,3,88,GOOD,True,1676,365,2025-08-11,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0037,TRACK,HYD-C02,HYD-C02-S008,GN-0043,GN-0042,0.05,5,89,GOOD,True,1676,180,2026-06-08,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
