segment_id,corridor_id,sequence,start_graph_node,end_graph_node,length_km,cumulative_start_km,cumulative_end_km,edge_id,usage,service,gauge,electrified,voltage
HYD-C01-S001,HYD-C01,1,GN-0095,GN-0096,0.361,0.0,0.361,OSM-E0086,main,,1676.0,contact_line,25000.0
HYD-C01-S002,HYD-C01,2,GN-0096,GN-0007,0.055,0.361,0.416,OSM-E0265,main,,1676.0,contact_line,25000.0
HYD-C01-S003,HYD-C01,3,GN-0007,GN-0159,0.04,0.416,0.456,OSM-E0277,main,,1676.0,contact_line,25000.0
HYD-C01-S004,HYD-C01,4,GN-0159,GN-0113,0.049,0.456,0.505,OSM-E0156,main,,1676.0,contact_line,25000.0
HYD-C01-S005,HYD-C01,5,GN-0113,GN-0094,0.071,0.505,0.576,OSM-E0100,main,,1676.0,contact_line,25000.0
HYD-C01-S006,HYD-C01,6,GN-0094,GN-0010,0.42,0.576,0.996,OSM-E0085,main,,1676.0,contact_line,25000.0
HYD-C01-S007,HYD-C01,7,GN-0010,GN-0009,0.036,0.996,1.032,OSM-E0118,main,,1676.0,contact_line,25000.0
HYD-C01-S008,HYD-C01,8,GN-0009,GN-0138,1.01,1.032,2.042,OSM-E0120,main,,1676.0,contact_line,25000.0
HYD-C01-S009,HYD-C01,9,GN-0138,GN-0091,0.071,2.042,2.113,OSM-E0119,main,,1676.0,contact_line,25000.0
HYD-C01-S010,HYD-C01,10,GN-0091,GN-0092,6.544,2.113,8.657,OSM-E0083,main,,1676.0,contact_line,25000.0
HYD-C01-S011,HYD-C01,11,GN-0092,GN-0220,0.965,8.657,9.622,OSM-E0287,main,,1676.0,contact_line,25000.0
HYD-C01-S012,HYD-C01,12,GN-0220,GN-0044,2.185,9.622,11.807,OSM-E0288,main,,1676.0,contact_line,25000.0
HYD-C01-S013,HYD-C01,13,GN-0044,GN-0201,0.596,11.807,12.403,OSM-E0252,main,,1676.0,contact_line,25000.0
HYD-C01-S014,HYD-C01,14,GN-0201,GN-0200,0.152,12.403,12.555,OSM-E0247,main,,1676.0,contact_line,25000.0
HYD-C01-S015,HYD-C01,15,GN-0200,GN-0202,0.722,12.555,13.277,OSM-E0254,main,,1676.0,contact_line,25000.0
HYD-C01-S016,HYD-C01,16,GN-0202,GN-0221,1.022,13.277,14.299,OSM-E0289,main,,1676.0,contact_line,25000.0
HYD-C01-S017,HYD-C01,17,GN-0221,GN-0097,0.249,14.299,14.548,OSM-E0290,main,,1676.0,contact_line,25000.0
HYD-C01-S018,HYD-C01,18,GN-0097,GN-0066,8.625,14.548,23.173,OSM-E0087,main,,1676.0,contact_line,25000.0
HYD-C01-S019,HYD-C01,19,GN-0066,GN-0230,3.904,23.173,27.077,OSM-E0330,main,,1676.0,contact_line,25000.0
HYD-C02-S001,HYD-C02,1,GN-0095,GN-0158,0.433,0.0,0.433,OSM-E0332,main,,1676.0,contact_line,25000.0
HYD-C02-S002,HYD-C02,2,GN-0158,GN-0154,0.155,0.433,0.588,OSM-E0154,main,,1676.0,contact_line,25000.0
HYD-C02-S003,HYD-C02,3,GN-0154,GN-0157,0.046,0.588,0.634,OSM-E0153,main,,1676.0,contact_line,25000.0
HYD-C02-S004,HYD-C02,4,GN-0157,GN-0163,0.083,0.634,0.717,OSM-E0168,main,,1676.0,contact_line,25000.0
HYD-C02-S005,HYD-C02,5,GN-0163,GN-0236,0.379,0.717,1.096,OSM-E0346,main,,1676.0,contact_line,25000.0
HYD-C02-S006,HYD-C02,6,GN-0236,GN-0144,0.019,1.096,1.115,OSM-E0347,main,,1676.0,contact_line,25000.0
HYD-C02-S007,HYD-C02,7,GN-0144,GN-0043,0.457,1.115,1.572,OSM-E0129,main,,1676.0,contact_line,25000.0
HYD-C02-S008,HYD-C02,8,GN-0043,GN-0042,0.015,1.572,1.587,OSM-E0041,main,,1676.0,contact_line,25000.0
HYD-C02-S009,HYD-C02,9,GN-0042,GN-0063,0.334,1.587,1.921,OSM-E0075,main,,1676.0,contact_line,25000.0
HYD-C02-S010,HYD-C02,10,GN-0063,GN-0062,0.028,1.921,1.949,OSM-E0074,main,,1676.0,contact_line,25000.0
HYD-C02-S011,HYD-C02,11,GN-0062,GN-0058,0.559,1.949,2.508,OSM-E0076,main,,1676.0,contact_line,25000.0
HYD-C02-S012,HYD-C02,12,GN-0058,GN-0023,0.036,2.508,2.544,OSM-E0043,main,,1676.0,contact_line,25000.0
HYD-C02-S013,HYD-C02,13,GN-0023,GN-0022,1.113,2.544,3.657,OSM-E0045,main,,1676.0,contact_line,25000.0
HYD-C02-S014,HYD-C02,14,GN-0022,GN-0024,0.084,3.657,3.741,OSM-E0036,main,,1676.0,contact_line,25000.0
HYD-C02-S015,HYD-C02,15,GN-0024,GN-0053,0.027,3.741,3.768,OSM-E0160,main,,1676.0,contact_line,25000.0
HYD-C02-S016,HYD-C02,16,GN-0053,GN-0052,0.813,3.768,4.581,OSM-E0035,main,,1676.0,contact_line,25000.0
HYD-C02-S017,HYD-C02,17,GN-0052,GN-0025,0.63,4.581,5.211,OSM-E0135,main,,1676.0,contact_line,25000.0
HYD-C02-S018,HYD-C02,18,GN-0025,GN-0026,0.027,5.211,5.238,OSM-E0034,main,,1676.0,contact_line,25000.0
HYD-C02-S019,HYD-C02,19,GN-0026,GN-0082,1.009,5.238,6.247,OSM-E0072,main,,1676.0,contact_line,25000.0
